id,added,city,niche,name,url,legal,inn,revenue_mln,year,alive,visual,pay,channel,verdict,status,visual_notes
msk-stom-1,2026-08-16,Москва,стоматология,Центр семейной стоматологии Митино,https://css-mitino.ru/,ООО МЦ Премьер Плюс,7733874348,154.3,2014,9,7,9,8,in_work,ready,Visual Composer
msk-stom-2,2026-08-16,Москва,стоматология,Денталцентр Жулебино,https://dentalcentr.ru/,ООО Денталцентр,7721322984,93.1,2015,8,5,8,6,hold,hold,визуал не принят
msk-stom-3,2026-08-16,Москва,стоматология,Легенда Бутово,https://ck-butovo.ru/,ООО Дентал Груп,7727540481,64.3,2005,8,5,7,7,hold,hold,визуал не принят
msk-stom-4,2026-08-16,Москва,стоматология,Квалитет,https://qualityclinic.ru/,ООО СК Квалитет,7715242427,39.6,2000,8,8,7,7,in_work,ready,слайдер лозунгов
msk-stom-5,2026-08-16,Москва,стоматология,Экостом,https://stom-vdnh.ru/,ООО Экодент,7716562613,12.0,2006,6,8,5,6,in_work,ready,DLE
msk-med-1,2026-08-16,Москва,неврология,Невро-Мед,https://www.nevromed.ru/,ООО МЦ Невро-Мед,9705078972,43.3,2016,8,8,7,8,in_work,ready,Drupal простыня
msk-med-2,2026-08-16,Москва,офтальмология,Клиника доктора Крячко,https://visus.ru/,ООО Глазная клиника доктора Крячко,7707366958,28.6,2016,8,8,7,8,in_work,ready,слайдер лозунгов
msk-med-3,2026-08-16,Москва,урология,Онис Клиник,https://www.onisclinic.ru/,ООО София,9729138980,18.1,2017,7,8,7,8,in_work,ready,WP простыня
msk-med-4,2026-08-16,Москва,гинекология,Центр женского здоровья,http://www.women-medcenter.ru/,ООО Медицинский центр женского здоровья,7728304180,11.0,2003,7,10,6,8,in_work,ready,таблицы 2000-х
msk-med-5,2026-08-16,Москва,гинекология+урология,Андромед,https://andromedica.ru/,ООО Андромед,7728287947,18.4,2003,7,9,7,8,in_work,ready,два стыдных домена
msk-med-6,2026-08-16,Москва,лор,ЛОР Чертаново,https://lorlen.ru/,ООО ДЦ А-Линия,7726339371,17.05,2015,7,7,7,7,in_work,ready,простыня
msk-med-7,2026-08-16,Москва,мрт,Диагностика Рязанский,https://ktmrtdiagnostic.ru/,ООО Диагностика,7720650809,58.9,2021,8,8,8,7,in_work,ready,сетка почему мы
nn-stom-1,2026-08-16,Нижний Новгород,стоматология,Диагональ,https://dentnn.ru/,,,,,6,9,5,7,in_work,ready,синий слайдер
nn-stom-2,2026-08-16,Нижний Новгород,стоматология,Сити-Стом,http://citistom.ru/,ООО Сити-Стом,5262209168,2.9,2007,6,10,4,6,hold,hold,выручка 2.9
nn-stom-3,2026-08-16,Нижний Новгород,стоматология,На Пролетарской,https://stomatology-nnov.ru/,ООО ТВС Медиум,5258029469,103.4,1997,8,8,8,8,in_work,ready,простыня юрссылок
nn-stom-4,2026-08-16,Нижний Новгород,стоматология,Денталия,https://dentalia52.ru/,ООО Денталия,5262348500,25.6,2017,8,8,7,8,in_work,ready,4 телефона
nn-stom-5,2026-08-16,Нижний Новгород,стоматология,Сириус,https://siriusnn.ru/,ООО Райс-Клиник,5262352560,28.0,2017,8,8,7,8,in_work,ready,сетка почему нам
nn-stom-6,2026-08-16,Нижний Новгород,стоматология,Дентал-Сити,https://dc52.ru/,ООО Дентал-Сити НН,5260198739,30.1,2007,8,8,7,7,in_work,ready,слайдер преимуществ
nn-stom-7,2026-08-16,Нижний Новгород,стоматология,Феличита,https://felichita-stom.ru/,ООО Стоматологическая клиника Феличита,5257143264,80.6,2014,8,8,8,7,in_work,ready,лозунг
nn-stom-8,2026-08-16,Нижний Новгород,стоматология,Дент-Престиж,https://dent-prestige.ru/,ООО Дент-Престиж на Звездинке,5260447576,39.7,2017,8,7,7,8,in_work,ready,сетка Доверие
nn-stom-9,2026-08-16,Нижний Новгород,стоматология,Smile Clinic,https://smile-clinic.ru/,ООО Смайл Клиник НН,5262221006,25.6,2007,7,7,7,7,in_work,ready,2 телефона
nn-stom-10,2026-08-16,Нижний Новгород,стоматология,Имплант52,https://implant52.ru/,ООО ИМПЛАНТ52,5259125221,224.7,2016,9,7,9,8,hold,hold,выручка 224
